Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Valence,Energy,Loudness,Key,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Time_Signature
1,IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,2885889,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad,2018,12,2fkVZYFv9hOejIsLzZy8ad,0.755,0.501,0.267,-9.551,1,1,0.189,0.0867,1.45e-06,0.146,134.998,4
2,Happy Birthday,Sfera Ebbasta,2182720,https://open.spotify.com/track/7Cw97917dvg5xm6XMAA4Y2,2018,12,2bnTgPFD75vbq1AhxLJfMu,0.866,0.387,0.79,-11.011,4,1,0.0345,0.403,0.0,0.145,94.976,3
3,Torna a casa,Måneskin,1857579,https://open.spotify.com/track/3590AAEoqH50z4UmhMIY85,2018,12,3590AAEoqH50z4UmhMIY85,0.425,0.638,0.45,-3.184,1,0,0.0759,0.426,0.0,0.177,81.396,4
4,La fine del mondo,Anastasio,1836968,https://open.spotify.com/track/3FhWEh7VTAOYK4edZqNWNB,2018,12,3c5ZPBOMDO1HLHRrQEwpNW,0.83,0.667,0.406,-8.125,8,0,0.168,0.325,6.1e-06,0.117,114.989,4
5,All I Want for Christmas Is You,Mariah Carey,1599867,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2018,12,0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,0.35,-7.463,7,1,0.0384,0.164,0.0,0.0708,150.273,4
6,Senza Di Me (feat. Venerus & Franco126),Gemitaiz,1572541,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc,2018,12,3xGD5KhnizETt7KQwxtUAc,0.698,0.636,0.313,-5.844,8,1,0.034,0.167,0.0,0.125,107.282,3
7,90MIN,Salmo,1472280,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6,2018,12,3Ls9yKzshQye18Tx2AvOb6,0.549,0.765,0.513,-5.138,1,1,0.309,0.0253,0.0,0.855,122.002,4
8,CABRIOLET (feat. Sfera Ebbasta),Salmo,1357085,https://open.spotify.com/track/7wC76LWyNxaP3hjGzbWOcN,2018,12,7wC76LWyNxaP3hjGzbWOcN,0.548,0.531,0.309,-7.436,0,1,0.264,0.15,1.05e-05,0.0919,150.058,4
9,Last Christmas,Wham!,1301850,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2018,12,2FRnf9qhLbvw8fu4IBXx78,0.735,0.478,0.947,-12.472,2,1,0.0293,0.189,2.48e-06,0.355,107.682,4
10,oh 9od,tha Supreme,1284435,https://open.spotify.com/track/0UuqwLM3UFmwcXSJgfFHvr,2018,12,5Qy9jtZdxUnFXmgPp3u5VZ,0.761,0.714,0.737,-5.312,0,0,0.134,0.155,8.58e-06,0.256,143.016,4
